排名,代码,名称,asi_sum,asi_mean,最佳排名,平均排名,top50天,top100天,交易天数
1,300620,光库科技,8973.389008271604,99.70432231412893,18.0,111.27777777777777,20,51,90
2,601012,隆基绿能,8968.825329930147,99.65361477700164,12.0,129.45555555555555,19,38,90
3,300229,拓尔思,8795.653451963417,97.72948279959353,52.0,768.2,0,3,90
4,600629,华建集团,8745.026605129684,97.16696227921871,190.0,947.7222222222222,0,0,90
5,600196,复星医药,8716.933632468475,96.85481813853862,445.0,1048.0222222222221,0,0,90
6,600403,大有能源,8388.654880245856,93.20727644717618,385.0,1836.4,0,0,90
7,300308,中际旭创,8099.515972278448,99.99402434911664,1.0,2.2962962962962963,81,81,81
8,300502,新易盛,8099.301889615817,99.9913813532817,1.0,3.308641975308642,81,81,81
9,300750,宁德时代,8098.2024822487065,99.97780842282354,1.0,8.518518518518519,81,81,81
10,601899,紫金矿业,8097.374477407849,99.96758614083764,1.0,12.395061728395062,81,81,81
11,300394,天孚通信,8097.050826048453,99.96359044504263,2.0,13.925925925925926,79,81,81
12,300274,阳光电源,8096.739104825943,99.9597420348882,1.0,15.407407407407407,81,81,81
13,603986,兆易创新,8096.5929995863935,99.95793826649869,2.0,16.14814814814815,80,81,81
14,300476,胜宏科技,8096.51138865629,99.95693072415173,1.0,16.530864197530864,79,81,81
15,601138,工业富联,8095.9431240969325,99.9499151123078,1.0,19.22222222222222,79,81,81
16,002475,立讯精密,8094.123465639795,99.92745019308389,1.0,27.814814814814813,71,81,81
17,300058,蓝色光标,8093.616646241577,99.92119316347626,1.0,30.037037037037038,63,78,81
18,300136,信维通信,8092.992502090142,99.91348768012521,4.0,33.08641975308642,61,78,81
19,002202,金风科技,8092.583894809806,99.90844314580008,1.0,34.80246913580247,65,77,81
20,600089,特变电工,8091.711991212722,99.89767890386076,1.0,38.82716049382716,55,76,81
21,000547,航天发展,8091.035644540184,99.88932894494054,2.0,41.71604938271605,62,73,81
22,600111,北方稀土,8090.612548752299,99.88410554015184,2.0,44.111111111111114,56,75,81
23,002463,沪电股份,8090.499281389577,99.8827071776491,3.0,44.7037037037037,54,76,81
24,603993,洛阳钼业,8090.33397922433,99.88066641017691,7.0,45.4320987654321,46,79,81
25,000988,华工科技,8090.321305046046,99.88050993884008,1.0,45.46913580246913,53,67,81
26,600519,贵州茅台,8090.071917200157,99.87743107654515,2.0,46.75308641975309,47,79,81
27,600487,亨通光电,8089.820845824374,99.87433142993055,4.0,47.641975308641975,65,71,81
28,300059,东方财富,8089.741635527884,99.8733535250356,1.0,48.34567901234568,45,78,81
29,002384,东山精密,8089.5698524404515,99.8712327461784,2.0,48.98765432098765,53,66,81
30,601318,中国平安,8088.752689165804,99.86114431068894,6.0,52.888888888888886,46,71,81
31,301308,江波龙,8088.5397897134135,99.85851592238782,9.0,53.93827160493827,52,70,81
32,002050,三花智控,8088.293050277314,99.85546975651005,1.0,55.03703703703704,44,67,81
33,300475,香农芯创,8087.5908469083915,99.84680057911595,13.0,58.4320987654321,42,68,81
34,600498,烽火通信,8087.5415634675865,99.84619214157514,5.0,58.074074074074076,51,76,81
35,600118,中国卫星,8087.118813128235,99.84097300158315,1.0,60.53086419753087,46,63,81
36,600879,航天电子,8086.405349295137,99.8321648061128,2.0,63.60493827160494,41,62,81
37,600105,永鼎股份,8084.786734370787,99.81218190581218,12.0,71.4320987654321,38,56,81
38,002594,比亚迪,8083.715809164564,99.79896060696993,3.0,76.24691358024691,37,53,81
39,002837,英维克,8083.5883570585,99.79738712417901,6.0,76.22222222222223,31,68,81
40,603799,华友钴业,8083.5741457159065,99.79721167550503,16.0,77.14814814814815,25,65,81
41,600410,华胜天成,8083.336278555741,99.79427504389804,3.0,76.95061728395062,34,63,81
42,000657,中钨高新,8083.240022530644,99.79308669790919,13.0,78.58024691358025,27,59,81
43,002460,赣锋锂业,8083.202478198514,99.79262318763597,5.0,78.69135802469135,36,61,81
44,002371,北方华创,8083.150590342974,99.79198259682684,14.0,79.20987654320987,17,57,81
45,300548,长芯博创,8083.062405345423,99.79089389315337,12.0,79.4320987654321,20,59,81
46,601600,中国铝业,8082.880187959187,99.78864429579244,8.0,79.79012345679013,30,57,81
47,300014,亿纬锂能,8081.754018230839,99.77474096581284,11.0,85.48148148148148,30,54,81
48,002281,光迅科技,8081.735371407048,99.7745107581117,8.0,85.37037037037037,38,54,81
49,001309,德明利,8081.519055960602,99.77184019704447,5.0,86.25925925925925,42,54,81
50,601179,中国西电,8081.461646531246,99.77113143865735,7.0,86.4074074074074,26,51,81
